Name,Year,Rating
Spider-Man: Into the Spider-Verse,2018,3.5
Avengers: Infinity War,2018,4
Avengers: Endgame,2019,4
The Matrix,1999,4.5
Spider-Man: No Way Home,2021,3.5
The Truman Show,1998,5
Spider-Man: Homecoming,2017,3.5
Thor: Ragnarok,2017,4
Soul,2020,3
Spider-Man: Far From Home,2019,3.5
The Avengers,2012,3.5
Star Wars,1977,4.5
The Lord of the Rings: The Fellowship of the Ring,2001,4.5
Inside Out,2015,3
The Shawshank Redemption,1994,5
Back to the Future,1985,4.5
Ratatouille,2007,3.5
Guardians of the Galaxy Vol. 2,2017,4
The Empire Strikes Back,1980,4.5
Captain America: Civil War,2016,3.5
Doctor Strange,2016,4
Iron Man,2008,3.5
Captain America: The Winter Soldier,2014,3.5
Star Wars: The Last Jedi,2017,3.5
Jurassic Park,1993,4.5
Harry Potter and the Prisoner of Azkaban,2004,4
Toy Story,1995,4.5
Alien,1979,3.5
Black Widow,2021,3
The Incredibles,2004,3.5
Harry Potter and the Philosopher's Stone,2001,4
The Martian,2015,4.5
Ferris Bueller's Day Off,1986,5
Thunder Force,2021,0.5
Cool Hand Luke,1967,5
The First Great Train Robbery,1978,3.5
Gosford Park,2001,2.5
"The Good, the Bad and the Ugly",1966,5
Moneyball,2011,4
Free Guy,2021,3
The Untouchables,1987,4
Princess Mononoke,1997,3.5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,5
Buffy the Vampire Slayer,1992,2.5
Dead Poets Society,1989,4
The Thing,1982,4.5
Scent of a Woman,1992,4.5
City Lights,1931,3.5
The Terminator,1984,5
Terminator 2: Judgment Day,1991,5
The Lion King,1994,3.5
Rear Window,1954,5
Indiana Jones and the Temple of Doom,1984,3
Indiana Jones and the Last Crusade,1989,4
Sunset Boulevard,1950,5
Casablanca,1942,4.5
Vertigo,1958,5
M,1931,4.5
The Sting,1973,4
Evolution,2001,0.5
Gone with the Wind,1939,5
On the Waterfront,1954,4.5
Encanto,2021,3.5
Metropolis,1927,4.5
From Here to Eternity,1953,4
The Birds,1963,3.5
The Batman,2022,4.5
The French Connection,1971,4
Rope,1948,4
All About Eve,1950,4.5
The Others,2001,4
Bonnie and Clyde,1967,4
Arsenic and Old Lace,1944,3.5
Zoom,2006,0.5
Spirited Away,2001,4.5
Paths of Glory,1957,5
White Heat,1949,4.5
Million Dollar Baby,2004,5
The Intouchables,2011,4.5
Léon: The Professional,1994,4.5
Patton,1970,3.5
In Search of the Secret Formula,2008,0.5
The Night of the Hunter,1955,4
Top Secret!,1984,4
First Blood,1982,4
Shadow of a Doubt,1943,4.5
2001: A Space Odyssey,1968,5
Memento,2000,5
The Usual Suspects,1995,5
Monty Python and the Holy Grail,1975,5
The Shining,1980,5
Forrest Gump,1994,5
Rebecca,1940,3
The Bridge on the River Kwai,1957,4
My Fair Lady,1964,3.5
The Sound of Music,1965,4
Annie Hall,1977,5
Driving Miss Daisy,1989,4.5
Unforgiven,1992,4.5
A Beautiful Mind,2001,4.5
The King's Speech,2010,4
Touch of Evil,1958,4.5
Sunrise: A Song of Two Humans,1927,4
The Artist,2011,4
Chariots of Fire,1981,4
The Blues Brothers,1980,4.5
Once Upon a Time in the West,1968,5
The Great Dictator,1940,4.5
The Kid,1921,5
The Gold Rush,1925,4.5
Office Space,1999,4.5
Anatomy of a Murder,1959,4
Whiplash,2014,4
The Graduate,1967,4.5
A Trip to the Moon,1902,4
Jurassic World Dominion,2022,3
Solaris,1972,3.5
The Lord of the Rings: The Two Towers,2002,4.5
Good Will Hunting,1997,4
The Third Man,1949,4.5
Heat,1995,4.5
Chinatown,1974,5
Le Samouraï,1967,5
The Naked Gun: From the Files of Police Squad!,1988,4
Spartacus,1960,4.5
North by Northwest,1959,4
Strangers on a Train,1951,4.5
Notorious,1946,3
To Catch a Thief,1955,3.5
The 39 Steps,1935,3
The Man Who Knew Too Much,1956,4
Marnie,1964,3
Suspicion,1941,3.5
The Trouble with Harry,1955,3
The Lodger: A Story of the London Fog,1927,4
Sabotage,1936,3.5
Dial M for Murder,1954,4
Koyaanisqatsi,1982,4.5
Green Book,2018,4
The Outlaw Josey Wales,1976,3
Citizen Kane,1941,4.5
The Muppet Movie,1979,4.5
Escape from Alcatraz,1979,3.5
John Wick,2014,4
The Negotiator,1998,4
A Fistful of Dollars,1964,4.5
"Aguirre, the Wrath of God",1972,3.5
All Quiet on the Western Front,1930,4
The Treasure of the Sierra Madre,1948,4
My Neighbor Totoro,1988,4.5
Modern Times,1936,4
It's a Wonderful Life,1946,4.5
Howl's Moving Castle,2004,3.5
Man of Steel,2013,3.5
Field of Dreams,1989,3.5
The Bodyguard,1992,2.5
"McFarland, USA",2015,2.5
Fantastic Four,2015,1
Before Sunrise,1995,4.5
